run iter 0
run iter 2
run iter 4
run iter 6
run iter 8
Good model: 13	Bad model: 10	Draws:177
         121942046 function calls (120868563 primitive calls) in 121.265 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.102    0.051 module.py:1039(to)
     36/2    0.009    0.000    0.102    0.051 module.py:795(_apply)
   189187    0.054    0.000    0.099    0.000 __init__.py:2369(<genexpr>)
    29/13    0.000    0.000    0.097    0.007 <frozen importlib._bootstrap_external>:1231(create_module)
    29/13    0.032    0.001    0.097    0.007 {built-in method _imp.create_dynamic}
    54739    0.050    0.000    0.093    0.000 random.py:514(<listcomp>)
       54    0.000    0.000    0.093    0.002 module.py:1139(convert)
        3    0.004    0.001    0.091    0.030 __init__.py:410(_attack_table)
    54287    0.090    0.000    0.090    0.000 single_chess.py:22(<listcomp>)
    10816    0.020    0.000    0.088    0.000 __init__.py:371(_sliding_attacks)
   111862    0.087    0.000    0.087    0.000 {built-in method builtins.min}
   181911    0.055    0.000    0.086    0.000 __init__.py:31(__get__)
        1    0.000    0.000    0.082    0.082 polyfuncs.py:1(<module>)
        1    0.000    0.000    0.081    0.081 specialpolys.py:1(<module>)
      115    0.002    0.000    0.079    0.001 optimizer.py:265(wrapper)
        1    0.000    0.000    0.075    0.075 sympify.py:1(<module>)
        1    0.000    0.000    0.075    0.075 rings.py:1(<module>)
      115    0.001    0.000    0.072    0.001 optimizer.py:29(_use_grad)
   849431    0.072    0.000    0.072    0.000 multiarray.py:1079(copyto)
    60940    0.033    0.000    0.071    0.000 <frozen os>:748(encodekey)
      115    0.001    0.000    0.071    0.001 adam.py:108(step)
   392892    0.070    0.000    0.070    0.000 __init__.py:552(__bool__)
    60637    0.046    0.000    0.070    0.000 container.py:207(__iter__)
    53810    0.045    0.000    0.068    0.000 __init__.py:219(square_distance)
   485609    0.052    0.000    0.067    0.000 __init__.py:2385(has_legal_en_passant)
   131220    0.065    0.000    0.065    0.000 __init__.py:452(between)
     5121    0.002    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     5245    0.063    0.000    0.063    0.000 {built-in method nt.stat}
      115    0.003    0.000    0.062    0.001 adam.py:231(adam)
   271899    0.062    0.000    0.062    0.000 __init__.py:3635(_to_chess960)
   716957    0.061    0.000    0.061    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.059    0.059 latex.py:1(<module>)
   631645    0.059    0.000    0.059    0.000 __init__.py:215(square_rank)
      115    0.002    0.000    0.056    0.000 adam.py:396(_multi_tensor_adam)
   363937    0.056    0.000    0.056    0.000 {built-in method torch._C._has_torch_function_unary}
        1    0.000    0.000    0.056    0.056 eager_transforms.py:1(<module>)
        1    0.000    0.000    0.054    0.054 indexed.py:1(<module>)
        1    0.000    0.000    0.053    0.053 basic.py:1(<module>)
   115567    0.035    0.000    0.053    0.000 __init__.py:2018(is_seventyfive_moves)
        2    0.000    0.000    0.052    0.026 errors.py:1(<module>)
     8882    0.035    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       16    0.000    0.000    0.051    0.003 utils.py:1(<module>)
        1    0.000    0.000    0.049    0.049 _diagnostic.py:1(<module>)
        1    0.000    0.000    0.049    0.049 assumptions.py:1(<module>)
       10    0.000    0.000    0.048    0.005 linear.py:1(<module>)
        1    0.000    0.000    0.047    0.047 facts.py:405(__init__)
   118056    0.047    0.000    0.047    0.000 __init__.py:1980(has_insufficient_material)
        1    0.000    0.000    0.046    0.046 _infra.py:1(<module>)
 8800/440    0.010    0.000    0.045    0.000 module.py:2269(train)
   181959    0.045    0.000    0.045    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.044    0.044 proxy_tensor.py:1(<module>)
      420    0.000    0.000    0.043    0.000 module.py:2291(eval)
        2    0.000    0.000    0.043    0.021 python.py:1(<module>)
        6    0.000    0.000    0.042    0.007 conv.py:431(__init__)
        6    0.000    0.000    0.042    0.007 conv.py:71(__init__)
        1    0.000    0.000    0.042    0.042 formatter.py:1(<module>)
        1    0.000    0.000    0.042    0.042 mock.py:1(<module>)
        6    0.000    0.000    0.041    0.007 conv.py:146(reset_parameters)
       85    0.000    0.000    0.040    0.000 dispatcher.py:178(add)
       85    0.000    0.000    0.040    0.000 dispatcher.py:222(reorder)
      125    0.001    0.000    0.040    0.000 dataloader.py:628(__next__)
    52603    0.016    0.000    0.038    0.000 {built-in method builtins.getattr}
538218/537273    0.038    0.000    0.038    0.000 {built-in method builtins.len}
    55928    0.038    0.000    0.038    0.000 {built-in method _bisect.bisect_right}
    60876    0.025    0.000    0.038    0.000 __init__.py:87(_is_compiled)
       95    0.000    0.000    0.037    0.000 dataclasses.py:1212(wrap)
       95    0.003    0.000    0.037    0.000 dataclasses.py:884(_process_class)
      424    0.017    0.000    0.037    0.000 assumptions.py:596(__init__)
      125    0.000    0.000    0.036    0.000 dataloader.py:675(_next_data)
   113398    0.036    0.000    0.036    0.000 __init__.py:1661(ply)
        1    0.000    0.000    0.035    0.035 polytools.py:1(<module>)
      449    0.001    0.000    0.035    0.000 __init__.py:80(decomposition_decorator)
       95    0.000    0.000    0.034    0.000 dataclasses.py:1195(dataclass)
     2602    0.007    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
   182472    0.032    0.000    0.032    0.000 {built-in method torch.is_grad_enabled}
   348598    0.032    0.000    0.032    0.000 __init__.py:1864(is_variant_end)
   181911    0.031    0.000    0.031    0.000 {built-in method torch._C._get_cudnn_enabled}
        1    0.000    0.000    0.030    0.030 partfrac.py:1(<module>)
        1    0.000    0.000    0.030    0.030 decorator.py:60(xthreaded)
        1    0.000    0.000    0.030    0.030 decorator.py:11(threaded_factory)
     1350    0.004    0.000    0.030    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        1    0.000    0.000    0.030    0.030 _jit_internal.py:1(<module>)
        1    0.000    0.000    0.030    0.030 constructor.py:1(<module>)
      225    0.001    0.000    0.030    0.000 function.py:162(__init__)
      550    0.001    0.000    0.029    0.000 _pytree.py:194(tree_map)
        1    0.000    0.000    0.029    0.029 point.py:1(<module>)
        1    0.005    0.005    0.029    0.029 facts.py:134(apply_beta_to_alpha_route)
    60943    0.022    0.000    0.029    0.000 <frozen os>:742(check_str)
   182050    0.028    0.000    0.028    0.000 {built-in method torch._C._has_torch_function_variadic}
        1    0.000    0.000    0.028    0.028 entity.py:1(<module>)
   168259    0.028    0.000    0.028    0.000 {method 'random' of '_random.Random' objects}
        2    0.000    0.000    0.027    0.014 quantize.py:1(<module>)
   476000    0.027    0.000    0.027    0.000 {method 'pop' of 'list' objects}
     2650    0.012    0.000    0.027    0.000 single_chess.py:74(<listcomp>)
243501/234193    0.021    0.000    0.026    0.000 {built-in method builtins.isinstance}
3793/3607    0.002    0.000    0.026    0.000 typing.py:345(inner)
        1    0.000    0.000    0.026    0.026 windows_events.py:1(<module>)
      550    0.000    0.000    0.025    0.000 _pytree.py:196(<listcomp>)
        3    0.000    0.000    0.025    0.008 numbers.py:1(<module>)
      592    0.002    0.000    0.025    0.000 __init__.py:31(_add_op_to_registry)
        1    0.000    0.000    0.025    0.025 hub.py:1(<module>)
      517    0.001    0.000    0.025    0.000 __init__.py:272(_compile)
    60876    0.024    0.000    0.024    0.000 {built-in method torch._C._cuda_getDeviceCount}
      454    0.000    0.000    0.024    0.000 __init__.py:127(register)
       42    0.000    0.000    0.024    0.001 dispatcher.py:147(_)
     1897    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      131    0.000    0.000    0.024    0.000 __init__.py:225(compile)
       85    0.000    0.000    0.023    0.000 conflict.py:24(ambiguities)
     1159    0.001    0.000    0.023    0.000 inspect.py:3277(signature)
       85    0.004    0.000    0.023    0.000 conflict.py:27(<setcomp>)
      104    0.000    0.000    0.023    0.000 _compiler.py:738(compile)
     1730    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      115    0.000    0.000    0.023    0.000 fetch.py:46(fetch)
     1159    0.001    0.000    0.023    0.000 inspect.py:3023(from_callable)
     1465    0.004    0.000    0.023    0.000 _ops.py:447(__getattr__)
     1301    0.023    0.000    0.023    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.002    0.002    0.023    0.023 _meta_registrations.py:2649(activate_meta)
     9002    0.011    0.000    0.022    0.000 module.py:1617(__setattr__)
1412/1159    0.004    0.000    0.022    0.000 inspect.py:2426(_signature_from_callable)
        4    0.000    0.000    0.022    0.005 random.py:1(<module>)
      298    0.001    0.000    0.021    0.000 dataclasses.py:413(_create_fn)
        1    0.000    0.000    0.021    0.021 expr.py:1(<module>)
    12868    0.007    0.000    0.021    0.000 facts.py:204(<genexpr>)
     2631    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.020    0.020 immutable.py:1(<module>)
    88555    0.019    0.000    0.020    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.020    0.020 ctx_fp.py:1(<module>)
     1330    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.000    0.000    0.019    0.019 iterables.py:1(<module>)
        1    0.000    0.000    0.018    0.018 distributed_c10d.py:1(<module>)
        1    0.000    0.000    0.018    0.018 ctx_base.py:1(<module>)
     1411    0.004    0.000    0.018    0.000 library.py:71(impl)
     5598    0.001    0.000    0.018    0.000 conflict.py:19(ambiguous)
        1    0.000    0.000    0.018    0.018 decorator.py:1(<module>)
        2    0.000    0.000    0.018    0.009 fake_quantize.py:1(<module>)
        1    0.000    0.000    0.018    0.018 mul.py:1(<module>)
        2    0.000    0.000    0.017    0.009 observer.py:1(<module>)
   115567    0.017    0.000    0.017    0.000 __init__.py:2015(_is_halfmoves)
       34    0.000    0.000    0.017    0.001 core.py:58(_)
   121648    0.017    0.000    0.017    0.000 {built-in method torch._C._set_grad_enabled}
        1    0.000    0.000    0.017    0.017 runtests.py:1(<module>)
        1    0.000    0.000    0.017    0.017 intersection.py:1(<module>)
       85    0.000    0.000    0.017    0.000 conflict.py:56(ordering)
        1    0.000    0.000    0.016    0.016 request.py:1(<module>)
     5598    0.011    0.000    0.016    0.000 conflict.py:12(consistent)
      115    0.009    0.000    0.015    0.000 single_chess.py:161(<listcomp>)
      104    0.000    0.000    0.015    0.000 _parser.py:970(parse)
       26    0.000    0.000    0.015    0.001 _jit_internal.py:847(_check_overload_body)
       26    0.000    0.000    0.015    0.001 _sources.py:119(parse_def)
        1    0.000    0.000    0.015    0.015 datapipe.py:1(<module>)
        4    0.000    0.000    0.015    0.004 common.py:1(<module>)
      115    0.000    0.000    0.015    0.000 single_chess.py:130(collate_fn)
      778    0.002    0.000    0.015    0.000 _ops.py:553(__getattr__)
        1    0.000    0.000    0.015    0.015 symbolic_opset11.py:1(<module>)
  327/104    0.001    0.000    0.015    0.000 _parser.py:447(_parse_sub)
     1301    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
  551/113    0.006    0.000    0.014    0.000 _parser.py:507(_parse)
    54739    0.014    0.000    0.014    0.000 {built-in method math.isfinite}
