   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1298    0.005    0.000    0.005    0.000 {built-in method torch._C._dispatch_has_kernel}
      134    0.000    0.000    0.005    0.000 wrappers.py:105(__call__)
        3    0.000    0.000    0.005    0.002 reductions.py:1(<module>)
        1    0.000    0.000    0.005    0.005 comparison.py:1(<module>)
      466    0.001    0.000    0.005    0.000 assumptions.py:469(__init__)
        1    0.000    0.000    0.005    0.005 split_utils.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _tool_component.py:1(<module>)
        2    0.000    0.000    0.005    0.003 callable.py:1(<module>)
      228    0.000    0.000    0.005    0.000 <frozen abc>:105(__new__)
      115    0.000    0.000    0.005    0.000 _docscrape.py:206(_read_sections)
        1    0.000    0.000    0.005    0.005 _artifact.py:1(<module>)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _fitpack_py.py:1(<module>)
        2    0.000    0.000    0.005    0.002 linalg.py:1(<module>)
      146    0.000    0.000    0.005    0.000 typing.py:1640(__getitem__)
